name,upc1,upc2
KANGVAPE 1800 MELON ICE 10CT,1940400006840,0194040000684
KANGVAPE 1800 MANGO ICE 10CT,1940400008750,0194040000875
KANGVAPE 1800 LUSH ICE 10CT,1940400008440,0194040000844
KANGVAPE 1800 GUAVA ICE 10CT,1940400008990,0194040000899
KANGVAPE 1800 GRAPE ICE 10CT,1940400006770,0194040000677
KANGVAPE 1800 ENERGY DRNK 10CT,1940400007210,0194040000721
KANGVAPE 1800 COOL MINT 10CT,1940400007690,0194040000769
KANGVAPE 1800 COLA ICE 10CT,1940400006910,0194040000691
KANGVAPE 1800 BLUE RZ ICE 10CT,1940400008820,0194040000882
KANGVAPE 1800 BLUBRY LEMN 10CT,1940400007450,0194040000745
KANGVAPE 1800 BANANA ICE 10CT,1940400008680,0194040000868
KANGVAPE 1800 BAN/STR ICE 10CT,1940400007070,0194040000707
KANG OMEGA PLUS 2500 10CT,KANG25000,00000KANG2500
KANG OMEGA 2500 - WMELON RUSH,1940400017590,0194040001759
KANG OMEGA 2500 - STRWNANA RSH,1940400018890,0194040001889
KANG OMEGA 2500 - STRWBRY MILK,1940400018580,0194040001858
JUM SOUR APPLE 1CT,6515361235980,0651536123598
JUM SMOOTH MENTHOL 1CT,6515361235810,0651536123581
JUM MIGHTY MANGO 1CT,6515361235670,0651536123567
JUM DOUBLE BLUEBERRY 1CT,6515361235740,0651536123574
JUM COFFEE BLEND 1CT,6515361235500,0651536123550
JUM CLASSIC TOBACCO 1CT,6515361235430,0651536123543
JUICEY BLUNT BLUNT & MILD 25 C                    JUICEY BLUNT BLUNT & MILD 25 C,0161650052860,0016165005286
JOY PODS ALL FLAVOURS 1CT,JOY0,0000000000JOY
JOB SINGLE WIDE 99 CENTS 72CT,864008012870,0086400801287
JOB ORNJ 11/4 $0.99 100 CT JAR                    JOB ORNJ 11/4 $0.99 100 CT JAR,0771701018750,0077170101875
JOB FRENCH LIGHT JAR $1.49                        JOB FRENCH LIGHT JAR $1.49,0771702502801,0077170250280
JAZZ XXL 2000 WMELON LUSH 10CT,9433830331900,0943383033190
JAZZ XXL 2000 STRWBRY ICE 10CT,9733830331970,0973383033197
JAZZ XXL 2000 LUSH ICE 10CT,9833830331960,0983383033196
JAZZ XXL 2000 GUMMY BEAR 10CT,9133830331930,0913383033193
JAZZ XXL 2000 COOL MINT 10CT,9333830331910,0933383033191
JAZZ XXL 2000 BLUE RAZ 10CT,9233830331920,0923383033192
