msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,pos_account_number,pos_name,match_type,confidence,weeks_active
45534794,0,5 STAR FOOD MART LLC/ FOOD MART,205 S CARROLL RD,VILLA RICA,GA,4045534794,5 STAR FOOD MART LLC/ FOOD MART,exact_name,high,3
45541348,0,KHOWAJA INC/SHELL FOOD MART,2995 N DRUID DILLS RD NE,ATLANTA,GA,4043218930,DRUID CONVENIENCE INC,address,medium,7
45631045,0,DOLLAR PLUS INVESTMENT INC,2677 MCAFEE RD,DECATUR,GA,4045631045,DOLLAR PLUS INVESTMENT INC,exact_name,high,7
45650327,0,SAHYOGI FOOD & MEAT INC,2521 DONALD LEE HOLLOWELL PKWY NW,ATLANTA,GA,4045650327,SAHYOG 1 FOOD & MEAT INC,fuzzy_name,medium,1
45651387,0,RAUNAK INVESTMENT LLC,1050 HOLCAMBE RD,DECATUR,GA,4045651387,RAUNAK INVESTMENT LLC,exact_name,high,2
45651453,0,DONNELLY FOOD MART/MAHIMOU LLC,1294 DONNELLY AVE SW,ATLANTA,GA,4045651453,DONNELLY FOOD MART/MAHIMOU LLC,exact_name,high,7
45652751,0,ANSR ENTERPRISE INC,2320 CHESIR BRIDGE RD NE,ATLANTA,GA,4045652751,ANSR ENTERPRISE INC,exact_name,high,5
45739714,0,DAILY FOOD MART INC,2355 SCENIC HWY S,SNELLVILLE,GA,4045739714,DAILY FOOD MART INC,exact_name,high,1
45746099,0,MLK FOOD MART,2636 MARTIN LUTHER KING JR DR,FULTON,GA,4045746099,MLK FOOD MART,exact_name,high,7
45845155,0,INTOWN MARKET ATLANTA LLC,1176 MEMORIAL DR SE,ATLANTA,GA,4045845155,INTOWN MARKET ATLANTA LLC ,exact_name,high,3
45966160,0,157 COMMERCE DRIVE LLC,157 COMMERCE DR,VILLA RICA,GA,7704596616,157 COMMERCE DRIVE LLC,exact_name,high,5
46050830,0,MARATHON FOOD MART,535 NORTH GLYNN STREET,FAYETTEL,GA,7703237861,MARATHON FOOD MART,exact_name,high,1
46089059,0,ELLENWOOD CHEVRON INC,5195 HIGHWAY 42,ELLENWOOD,GA,4046089059,ELLENWOOD CHEVRON INC,exact_name,high,8
46102788,0,YOHANNA INVESTMENT LLC,3550 MARTIN L KING JR DR SW,SNELLVILLE,GA,4046102788,YOHANNA INVESTMENT LLC,exact_name,high,2
46223888,0,WYZOS TOBACCO AND ACCESSORIES,465 BOULEVARD SE STE 105A,ATLANTA,GA,4046223888,WYZOS TOBACCO AND ACCESSORIES,exact_name,high,5
46258179,0,FAMILY CHOICE BUSINESS INC,2645 WESLY CHAPEL RD,DECATUR,GA,6786293253,FAMILY CHOICE BUSINESS INC,exact_name,high,2
46290360,0,CAMPBELTON INC/CHEVRON FOOD MART,4485 CAMBELTON RD STE B,ATLANTA,GA,4046290360,CAMBELLTON CHEVRON LLC,address,medium,8
46338190,0,METRO II FOOD & GAS,1925 MASONMILL RD,DECATUR,GA,4046338190,METRO II FOOD & GAS,exact_name,high,6
46342476,0,SR LIQUOR INC,3815 N DRUID HILLS RD,DECATUR,GA,4044719963,DILSAM INC,address,medium,2
46349942,0,ANIL INVESTMENT LLC/CITGO/K,1701 SCOTT BLVD,DECATUR,GA,4046349942,ANIL INVESTMENT LLC/CITGO/K,exact_name,high,8
46351399,0,ANS THREE D INC CHEVRN FM,1401 MORELAND AVE SE STE A,ATLANTA,GA,4046351399,ANS THREE D INC/CHEVRON FOOD MART,fuzzy_name,medium,1
46411307,0,PAVO 233 INC,233 HARRIS ST,PAVO,GA,4046411307,PAVO 233 INC,exact_name,high,4
46414978,0,ARN ENTERPRISES LLC,1996 CORINTH RD,NEWMAN,GA,4046414978,ARN ENTERPRISES LLC,exact_name,high,2
46529920,0,MINT TRADER INC BEST FOOD MART,4666 JONESBORO RD,FOREST PARK,GA,4043615752,PARK FOOD MART,address,medium,4
46549650,0,ISHAAN GROUP INC.,410 S STONE MOUNTAIN  LITHONIA RD,STONE MOUNTAIN,GA,7704654965,ISHAAN GROUP INC.,exact_name,high,7
46702220,0,ZETELLAZ LLC,4319 NEWNAN RD,GRIFFIN,GA,7704670222,ZETELLAZ LLC,exact_name,high,2
46853722,0,CHAPPELL ROAD INC,575 CHAPPELL RD NW,ATLANTA,GA,4046853722,CHAPPELL ROAD INC,exact_name,high,2
46858372,0,MIDTOWN FOOD MARKET,225 10TH ST NE,ATLANTA,GA,4046858372,MIDTOWN MARKET 225 INC,address,medium,2
46868000,0,6470 BMA MANAGEMENT LLC,6470 COVINTON HIGHWAY,LITHONIA,GA,7704686800,6470 BMA MANAGEMENT LLC,exact_name,high,3
46880918,0,LADHANI INC/SHELL,356 MORELAND AVE,ATLANTA,GA,4045004942,STAR COMMUNITY BAR,address,medium,3
46946270,0,WELCOME FOODS PANOLA,1241 PANOLA RD,STONE MOUNTAIN,GA,7704694627,WELCOME FOODS PANOLA,exact_name,high,4
46968050,0,MAGIC TRUCK STOP,4590 FULTON INDUSTRIAL BLVD SW,ATLANTA,GA,4043545333,PBA FOOD MART LLC/Q1 FOOD MART,address,medium,4
47168973,0,AAP EATONTON INC,204 E SUMTER ST,EATONTON,GA,4049898698,AAP EATONTON INC/SHELL EATONTON MART,address,medium,1
47168976,0,GREENSBORO EXTRAMILE LLC,2204 S MAIN ST,GREENSBORO,GA,4047168976,GREENSBORO EXTRAMILE LLC,exact_name,high,6
47230379,0,SAN MARCOS SUPERMERCADO,532 GRAYSON HWY STE G,LAWRENCEVILLE,GA,2547230379,SAN MARCOS SUPERMERCADO,exact_name,high,1
47371770,0,JONESBORO FOOD & GAS LLC,2775 MOUNT ZION PKWY,JONESBORO,GA,7704737177,MT ZION 2775 LLC,address,medium,1
47410840,0,REX USA INC/CHEVRON,6448 HIGHWAY 42,REX,GA,4703237954,REX BUSINESS LLC,address,medium,8
47439820,0,KORNER STORE BP,155 EAST ATLANTA RD,STOCKBRIDGE,GA,7704743982,KORNER STORE BP,exact_name,high,4
47481296,0,TEXACO GILLANI VENTURES,4544 GLENWOOD ROAD,DECATUR,GA,4047481296,TEXACO GILLANI VENTURES LLC 3,fuzzy_name,medium,2
47518388,0,420 FAIRVIEW INC/ BP FOODMART,420 FAIRVIEW RD,STOCKBRIDGDE,GA,4047518388,420 FAIRVIEW INC/ BP FOODMART,exact_name,high,2
47518838,0,420 FAIRVIEW INC,420 FAIRVIEW RD,STOCKBRIDGDE,GA,4047518388,420 FAIRVIEW INC/ BP FOODMART,address,medium,4
47531714,0,CASCADE CHEVRON USA,1072 CASCADE RD SW,ATLANTA,GA,4047531714,CASCADE FOOD MART / ANMOL ENT. USA INC.,address,medium,2
47532006,0,BEST FOOD MART,2200 CAMPBELLTON RD SW STE A-B,ATLANTA,GA,7867571222,BEST FOOD MART ,exact_name,high,7
47550274,0,ARMAN FOOD MART LLC,1469 CAMPBELLTON RD SW STE B,ATLANTA,GA,4045497285,AMEN FOOD MART LLC,fuzzy_name,medium,3
47556300,0,"BANGLA UNITED,LLC",1163 METROPOLITAN PKWY SW,ATLANTA,GA,4047554488,BANGLA UNITED LLC,exact_name,high,8
47562977,0,YASMAGY LLC,3445 COVINGTON DR,DECATUR,GA,7047562977,YASMAGY LLC,exact_name,high,7
47577470,0,TOP SHELF LIQUORS/BLW ENTS INC,12872 HIGHWAY 9 N STE 150,ALPHARETA,GA,7704757747,TOP SHELF LIQUORS/BLW ENTS INC,exact_name,high,2
47582529,0,LI PACKAGE STORE,1061 LEE STREET SW,ATLANTA,GA,4047582529 ,LI PACKAGE STORE ,exact_name,high,7
