msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,msa_phone,pos_account_number,pos_name,match_type,confidence,matched_key,weeks_active
46529920,0,MINT TRADER INC BEST FOOD MART,4666 JONESBORO RD,FOREST PARK,GA,,4046529920,MARS CHEVRON,account_key,high,46529920,4
46549650,0,ISHAAN GROUP INC.,410 S STONE MOUNTAIN  LITHONIA RD,STONE MOUNTAIN,GA,,7704654965,ISHAAN GROUP INC.,account_key,high,46549650,7
46702220,0,ZETELLAZ LLC,4319 NEWNAN RD,GRIFFIN,GA,,7704670222,ZETELLAZ LLC,account_key,high,46702220,2
46853722,0,CHAPPELL ROAD INC,575 CHAPPELL RD NW,ATLANTA,GA,,4046853722,CHAPPELL ROAD INC,account_key,high,46853722,2
46858372,0,MIDTOWN FOOD MARKET,225 10TH ST NE,ATLANTA,GA,,4046858372,MIDTOWN MARKET 225 INC,account_key,high,46858372,2
46868000,0,6470 BMA MANAGEMENT LLC,6470 COVINTON HIGHWAY,LITHONIA,GA,,7704686800,6470 BMA MANAGEMENT LLC,account_key,high,46868000,3
46880918,0,LADHANI INC/SHELL,356 MORELAND AVE,ATLANTA,GA,,4046880918,A & S CONVENIENCE LLC,account_key,high,46880918,3
46946270,0,WELCOME FOODS PANOLA,1241 PANOLA RD,STONE MOUNTAIN,GA,,7704694627,WELCOME FOODS PANOLA,account_key,high,46946270,4
46968050,0,MAGIC TRUCK STOP,4590 FULTON INDUSTRIAL BLVD SW,ATLANTA,GA,,4046968050,MAGIC PRIME LLC/TRUCK STOP,account_key,high,46968050,4
47168973,0,AAP EATONTON INC,204 E SUMTER ST,EATONTON,GA,,7064856425,BHOLA INC SHELL EXPRESS,customer_to_phone_key,medium,47168973,1
47168976,0,GREENSBORO EXTRAMILE LLC,2204 S MAIN ST,GREENSBORO,GA,,4047168976,GREENSBORO EXTRAMILE LLC,account_key,high,47168976,6
47230379,0,SAN MARCOS SUPERMERCADO,532 GRAYSON HWY STE G,LAWRENCEVILLE,GA,,2547230379,SAN MARCOS SUPERMERCADO,account_key,high,47230379,1
47371770,0,JONESBORO FOOD & GAS LLC,2775 MOUNT ZION PKWY,JONESBORO,GA,,7704737177,MT ZION 2775 LLC,account_key,high,47371770,1
47410840,0,REX USA INC/CHEVRON,6448 HIGHWAY 42,REX,GA,,7704741084,REX C STORE/REX STORE INC,account_key,high,47410840,8
47439820,0,KORNER STORE BP,155 EAST ATLANTA RD,STOCKBRIDGE,GA,,7704743982,KORNER STORE BP,account_key,high,47439820,4
