Record,,3 Digit UPC,4 Digit UPC,5 Digit UPC,6 Digit UPC,7 Digit UPC,8 Digit UPC,9 Digit UPC,10 Digit UPC,11 Digit UPC,12 Digit UPC,13 Digit UPC,14 Digit UPC,15 Digit UPC,3 Digit UPC MATCH,4 Digit UPC MATCH,5 Digit UPC MATCH,6 Digit UPC MATCH,7 Digit UPC MATCH,8 Digit UPC MATCH,9 Digit UPC MATCH,10 Digit UPC MATCH,11 Digit UPC MATCH,12 Digit UPC MATCH,13 Digit UPC MATCH,14 Digit UPC MATCH,15 Digit UPC MATCH,TRUE MATCH,
BID,78476207230600784762072306ZIG-ZAG GRAPE 3/99C 15CT                          ZIG-ZAG GRAPE 3/99C 15CT                          000015Y      003231                                                                                                 00300000000017,784,7847,78476,784762,7847620,78476207,784762072,7847620723,78476207230,784762072306,7847620723060,78476207230600,7847620723060,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207001200784762070012ZIG-ZAG CONES STRAIGHT UP 30CT                                                                      000030N      003231                                                                                                 00300000000007,784,7847,78476,784762,7847620,78476207,784762070,7847620700,78476207001,784762070012,7847620700120,78476207001200,7847620700120,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207013500784762070135ZIG-ZAG CONES PINEAPPLE 30CT                                                                        000030N      003231                                                                                                 00300000000013,784,7847,78476,784762,7847620,78476207,784762070,7847620701,78476207013,784762070135,7847620701350,78476207013500,7847620701350,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207004300784762070043ZIG-ZAG CONES GRAPE 30CT                                                                            000030N      003231                                                                                                 00300000000019,784,7847,78476,784762,7847620,78476207,784762070,7847620700,78476207004,784762070043,7847620700430,78476207004300,7847620700430,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207010400784762070104ZIG-ZAG CONES DRAGONBERRY 30CT                                                                      000030N      003231                                                                                                 00300000000017,784,7847,78476,784762,7847620,78476207,784762070,7847620701,78476207010,784762070104,7847620701040,78476207010400,7847620701040,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207007400784762070074ZIG-ZAG CONES BLUEBERRY 30CT                                                                        000030N      003231                                                                                                 00300000000015,784,7847,78476,784762,7847620,78476207,784762070,7847620700,78476207007,784762070074,7847620700740,78476207007400,7847620700740,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,00866000735300008660007353ZIG-ZAG 1 1/4  UNBLECHD PAPER                     ZIG-ZAG 1 1/4  UNBLECHD PAPER                     000001Y      003231                                                                                                 00300000000015,008,0086,00866,008660,0086600,00866000,008660007,0086600073,00866000735,008660007353,0086600073530,00866000735300,0086600073530,0,0,0,0,0,0,0,0,0,8660007353,0,0,0,1,
BID,00866001744400008660017444ZIGZAG 1 1/2 B/ULTRA THIN $.99                    ZIGZAG 1 1/2 B/ULTRA THIN $.99                    000050Y      003231                                                                                                 00300000000033,008,0086,00866,008660,0086600,00866001,008660017,0086600174,00866001744,008660017444,0086600174440,00866001744400,0086600174440,0,0,0,0,0,0,0,0,0,8660017444,0,0,0,1,
BID,78476207160600784762071606ZIG ZAG WRP 2/99C BLUEBERY 25C                    ZIG ZAG WRP 2/99C BLUEBERY 25C                    000050Y      003231                           2/99C                                                                 00300000000011,784,7847,78476,784762,7847620,78476207,784762071,7847620716,78476207160,784762071606,7847620716060,78476207160600,7847620716060,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207216000784762072160ZIG ZAG WRAPSGR/ISLAND PCHS 25                                                                      000025N      003231                                                                                                 00300000000000,784,7847,78476,784762,7847620,78476207,784762072,7847620721,78476207216,784762072160,7847620721600,78476207216000,7847620721600,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207211500784762072115ZIG ZAG WRAPS VANILLA 25CT                        ZIG ZAG WRAPS VANILLA 25CT                        000025Y      003231                                                                                                 00300000000023,784,7847,78476,784762,7847620,78476207,784762072,7847620721,78476207211,784762072115,7847620721150,78476207211500,7847620721150,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207208500784762072085ZIG ZAG WRAPS STRT/UP 25CT                        ZIG ZAG WRAPS STRT/UP 25CT                        000025Y      003231                                                                                                 00300000000022,784,7847,78476,784762,7847620,78476207,784762072,7847620720,78476207208,784762072085,7847620720850,78476207208500,7847620720850,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207207800784762072078ZIG ZAG WRAPS STRAWBERRY 25CT                                                                       000025N      003231                                                                                                 00300000000010,784,7847,78476,784762,7847620,78476207,784762072,7847620720,78476207207,784762072078,7847620720780,78476207207800,7847620720780,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207877300784762078773ZIG ZAG WRAPS STRAWBERRY 25CT                     ZIG ZAG WRAPS STRAWBERRY 25CT                     000025Y      003231                                                                                                 00300000000054,784,7847,78476,784762,7847620,78476207,784762078,7847620787,78476207877,784762078773,7847620787730,78476207877300,7847620787730,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
BID,78476207218400784762072184ZIG ZAG WRAPS PINEAPPLE 25CT                      ZIG ZAG WRAPS PINEAPPLE 25CT                      000025Y      003231                                                                                                 00300000000000,784,7847,78476,784762,7847620,78476207,784762072,7847620721,78476207218,784762072184,7847620721840,78476207218400,7847620721840,0,0,0,0,0,0,0,0,0,7.84762E+11,0,0,0,1,
